"Gender";"Birth_Year";"NumberOfVictims";"AgeAtFirstCrime";"AgeAtLastCrime";"HasFemaleVictim";"HasMaleVictim";"GenderCrossover";"HasChildUnderSixVictim";"HasPrePubescentVictim";"HasPubescentVictim";"HasPostPubescentVictim";"HasAdultVictim";"AgeCrossover";"NonAdjacentAgeCrossover";"YoungestVictim";"HasInjuredVictim";"HasFamilyVictim";"HasAcquaintanceVictim";"HasStrangerVictim";"RelationshipCrossover"
"MALE";"1965";6;48;49;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;FALSE;TRUE;FALSE
"MALE";"1976";2;39;39;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1983";3;32;32;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1973";4;40;45;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1977";3;40;41;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1958";2;37;37;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1979";2;38;39;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1966";2;52;52;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1978";3;31;31;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;FALSE;TRUE;FALSE
"MALE";"1973";3;38;38;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1960";2;46;49;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1965";4;47;47;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;TRUE;TRUE
"MALE";"1987";2;20;27;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1987";2;31;35;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1969";3;45;48;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1958";2;53;54;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1975";4;40;44;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1971";4;19;51;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
